,precision,recall,f1-score,support
Plum,1.0,0.9985486211901307,0.9992737835875091,689.0
Guava,0.9996452013482349,0.953630055847013,0.9760956175298805,5909.0
Kiwi,0.9991514637250742,0.9271653543307087,0.9618133551153768,2540.0
Pitaya,1.0,0.832,0.9082969432314411,750.0
Peach,1.0,0.8022813688212928,0.890295358649789,789.0
weighted avg,0.9286944586310841,0.8755965036617056,0.8848417639046658,21165.0
accuracy,0.8755965036617056,0.8755965036617056,0.8755965036617056,0.8755965036617056
Persimmon,0.9918533604887984,0.7829581993569131,0.8751123090745733,622.0
macro avg,0.9676750376007937,0.809053307188085,0.8711021116937994,21165.0
Pomegranate,1.0,0.7630769230769231,0.8656195462478184,650.0
Banana,0.9914163090128756,0.763215859030837,0.8624766645924082,908.0
muskmelon,1.0,0.7512038523274478,0.8579285059578369,623.0
Mango,0.9924406047516199,0.7375601926163724,0.8462246777163904,1246.0
Pear,0.9969924812030075,0.7334070796460177,0.8451242829827916,904.0
Carambola,1.0,0.717948717948718,0.835820895522388,624.0
Orange,0.9936406995230525,0.6913716814159292,0.8153946510110893,904.0
Tomatoes,0.9866666666666667,0.6820276497695853,0.8065395095367848,651.0
Apple,0.5633187772925764,0.9994040524433849,0.720515574650913,3356.0
