,precision,recall,f1-score,support
10,1.0,1.0,1.0,750.0
2,1.0,1.0,1.0,624.0
11,1.0,0.9985486211901307,0.9992737835875091,689.0
3,1.0,0.9983076662717888,0.9991531165311653,5909.0
4,0.9992122883024813,0.9988188976377953,0.9990155542429612,2540.0
9,0.9983922829581994,0.9983922829581994,0.9983922829581994,622.0
13,0.9984615384615385,0.9969278033794163,0.9976940814757879,651.0
7,0.9974619289340102,0.9961977186311787,0.9968294229549778,789.0
1,1.0,0.9933920704845814,0.9966850828729282,908.0
accuracy,0.9942830144105835,0.9942830144105835,0.9942830144105835,0.9942830144105835
weighted avg,0.994360772746997,0.9942830144105835,0.9942757300213121,21165.0
macro avg,0.9954024913091565,0.9905726935942357,0.9929192114849811,21165.0
6,0.9966405375139977,0.9845132743362832,0.9905397885364496,904.0
0,0.9795201872440024,0.9976162097735399,0.9884853852967228,3356.0
5,0.9764521193092621,0.9983948635634029,0.9873015873015873,1246.0
8,0.9899216125419933,0.9778761061946902,0.9838619922092376,904.0
12,1.0,0.9661538461538461,0.9827856025039123,650.0
14,0.9949748743718593,0.9534510433386838,0.9737704918032787,623.0
