Capa,Tipo,Output Shape,Parámetros
input_layer,InputLayer,N/A,0
conv1_pad,ZeroPadding2D,N/A,0
conv1_conv,Conv2D,N/A,9472
conv1_bn,BatchNormalization,N/A,256
conv1_relu,Activation,N/A,0
pool1_pad,ZeroPadding2D,N/A,0
pool1_pool,MaxPooling2D,N/A,0
conv2_block1_1_conv,Conv2D,N/A,4160
conv2_block1_1_bn,BatchNormalization,N/A,256
conv2_block1_1_relu,Activation,N/A,0
conv2_block1_2_conv,Conv2D,N/A,36928
conv2_block1_2_bn,BatchNormalization,N/A,256
conv2_block1_2_relu,Activation,N/A,0
conv2_block1_0_conv,Conv2D,N/A,16640
conv2_block1_3_conv,Conv2D,N/A,16640
conv2_block1_0_bn,BatchNormalization,N/A,1024
conv2_block1_3_bn,BatchNormalization,N/A,1024
conv2_block1_add,Add,N/A,0
conv2_block1_out,Activation,N/A,0
conv2_block2_1_conv,Conv2D,N/A,16448
conv2_block2_1_bn,BatchNormalization,N/A,256
conv2_block2_1_relu,Activation,N/A,0
conv2_block2_2_conv,Conv2D,N/A,36928
conv2_block2_2_bn,BatchNormalization,N/A,256
conv2_block2_2_relu,Activation,N/A,0
conv2_block2_3_conv,Conv2D,N/A,16640
conv2_block2_3_bn,BatchNormalization,N/A,1024
conv2_block2_add,Add,N/A,0
conv2_block2_out,Activation,N/A,0
conv2_block3_1_conv,Conv2D,N/A,16448
conv2_block3_1_bn,BatchNormalization,N/A,256
conv2_block3_1_relu,Activation,N/A,0
conv2_block3_2_conv,Conv2D,N/A,36928
conv2_block3_2_bn,BatchNormalization,N/A,256
conv2_block3_2_relu,Activation,N/A,0
conv2_block3_3_conv,Conv2D,N/A,16640
conv2_block3_3_bn,BatchNormalization,N/A,1024
conv2_block3_add,Add,N/A,0
conv2_block3_out,Activation,N/A,0
conv3_block1_1_conv,Conv2D,N/A,32896
conv3_block1_1_bn,BatchNormalization,N/A,512
conv3_block1_1_relu,Activation,N/A,0
conv3_block1_2_conv,Conv2D,N/A,147584
conv3_block1_2_bn,BatchNormalization,N/A,512
conv3_block1_2_relu,Activation,N/A,0
conv3_block1_0_conv,Conv2D,N/A,131584
conv3_block1_3_conv,Conv2D,N/A,66048
conv3_block1_0_bn,BatchNormalization,N/A,2048
conv3_block1_3_bn,BatchNormalization,N/A,2048
conv3_block1_add,Add,N/A,0
