id_lote,lote,id_t_id,id_marca,id_tipo
1,G80V76K49J80T71,1,1,1
2,G80V76K49L46V78M,2,2,1
3,G80V76K49L48J80T71,3,3,1
4,G80V76K49L49J80T71,4,4,1
5,G80V76K49L50J80T71,5,5,1
6,G80V76K49L51J80T71,6,3,1
7,G80V76K49L52J80T71,7,6,1
8,G80V76K49L53J80T71,8,4,1
9,G80V76K49L54J80T71,9,5,1
10,G80V76K49L55J80T71,10,7,1
11,G80V76K49L56J80T71,11,8,1
12,G80V76K49L57J80T71,12,9,1
13,G80V76K49M46V78M,13,10,1
14,G80V76K49M48J80T71,14,11,1
15,G80V76K49M49J80T71,15,12,1
16,G80V76K49M50J80T71,16,13,1
17,G80V76K49M51J80T71,17,14,1
18,G80V76K49M52J80T71,18,15,1
19,G80V76K49M53J80T71,19,14,1
20,G80V76K49M54J80T71,20,10,1
21,G80V76K49M55J80T71,21,16,1
22,G80V76K49M56J80T71,22,2,1
23,G80V76K49M57J80T71,23,5,1
24,G80V76K49N46V78M,24,17,1
25,G80V76K49N48J80T71,25,11,1
26,G80V76K49N49J80T71,26,3,1
27,G80V76K49N50J80T71,27,16,1
28,G80V76K49N51J80T71,28,17,1
29,G80V76K49N52J80T71,29,18,1
30,G80V76K49N53J80T71,30,6,1
31,G80V76K49N54J80T71,31,1,1
32,G80V76K49N55J80T71,32,19,1
33,G80V76K49N56J80T71,33,3,1
34,G80V76K49N57J80T71,34,8,1
35,G80V76K49O46V78M,35,20,1
36,G80V76K49O48J80T71,36,21,1
37,G80V76K49O49J80T71,37,22,1
38,G80V76K49O50J80T71,38,23,1
39,G80V76K49O51J80T71,39,23,1
40,G80V76K49O52J80T71,40,6,1
41,G80V76K49O53J80T71,41,13,1
42,G80V76K49O54J80T71,42,23,1
43,G80V76K49O55J80T71,43,14,1
44,G80V76K49O56J80T71,44,12,1
45,G80V76K49O57J80T71,45,10,1
46,G80V76K49P46V78M,46,13,1
47,G80V76K49P48J80T71,47,15,1
48,G80V76K49P49J80T71,48,24,1
49,G80V76K49P50J80T71,49,25,1
50,G80V76K49P51J80T71,50,24,1
51,G80V76K49P52J80T71,51,19,1
52,G80V76K49P53J80T71,52,7,1
53,G80V76K49P54J80T71,53,4,1
54,G80V76K49P55J80T71,54,16,1
55,G80V76K49P56J80T71,55,14,1
56,G80V76K49P57J80T71,56,26,1
57,G80V76K49Q46V78M,57,14,1
58,G80V76K49Q48J80T71,58,8,1
59,G80V76K49Q49J80T71,59,26,1
60,G80V76K49Q50J80T71,60,23,1
61,G80V76K49Q51J80T71,61,27,1
62,G80V76K49Q52J80T71,62,11,1
63,G80V76K49Q53J80T71,63,18,1
64,G80V76K49Q54J80T71,64,8,1
65,G80V76K49Q55J80T71,65,28,1
66,G80V76K49Q56J80T71,66,17,1
67,G80V76K49Q57J80T71,67,6,1
68,G80V76K49R46V78M,68,8,1
69,G80V76K49R48J80T71,69,24,1
70,G80V76K49R49J80T71,70,28,1
71,G80V76K49R50J80T71,71,20,1
72,G80V76K49R51J80T71,72,17,1
73,G80V76K49R52J80T71,73,21,1
74,G80V76K49R53J80T71,74,3,1
75,G80V76K49R54J80T71,75,2,1
76,G80V76K49R55J80T71,76,1,1
77,G80V76K49R56J80T71,77,5,1
78,G80V76K49R57J80T71,78,5,1
79,G80V76K49S46V78M,79,29,1
80,G80V76K49S48J80T71,80,28,1
81,G80V76K49S49J80T71,81,18,1
82,G80V76K49S50J80T71,82,16,1
83,G80V76K49S51J80T71,83,6,1
84,G80V76K49S52J80T71,84,5,1
85,G80V76K49S53J80T71,85,30,1
86,G80V76K49S54J80T71,86,1,1
87,G80V76K49S55J80T71,87,31,1
88,G80V76K49S56J80T71,88,28,1
89,G80V76K49S57J80T71,89,32,1
90,G80V76K49T46V78M,90,21,1
91,G80V76K49T48J80T71,91,5,1
92,G80V76K49T49J80T71,92,26,1
93,G80V76K49T50J80T71,93,27,1
94,G80V76K49T51J80T71,94,8,1
95,G80V76K49T52J80T71,95,14,1
96,G80V76K49T53J80T71,96,20,1
97,G80V76K49T54J80T71,97,12,1
98,G80V76K49T55J80T71,98,9,1
99,G80V76K49T56J80T71,99,2,1
100,G80V76K49T57J80T71,100,19,1
101,G80V76K49U46V78M,101,33,1
102,G80V76K49U48J80T71,102,34,1
103,G80V76K49U49J80T71,103,18,1
104,G80V76K49U50J80T71,104,22,1
105,G80V76K49U51J80T71,105,27,1
106,G80V76K49U52J80T71,106,34,1
107,G80V76K49U53J80T71,107,6,1
108,G80V76K49U54J80T71,108,3,1
109,G80V76K49U55J80T71,109,13,1
110,G80V76K49U56J80T71,110,26,1
111,G80V76K49U57J80T71,111,10,1
112,G80V76K50J80T71,112,10,1
113,G80V76K50L46V78M,113,32,1
114,G80V76K50L48J80T71,114,24,1
115,G80V76K50L49J80T71,115,21,1
116,G80V76K50L50J80T71,116,29,1
117,G80V76K50L51J80T71,117,9,1
118,G80V76K50L52J80T71,118,28,1
119,G80V76K50L53J80T71,119,23,1
120,G80V76K50L54J80T71,120,31,1
121,G80V76K50L55J80T71,121,8,1
122,G80V76K50L56J80T71,122,35,1
123,G80V76K50L57J80T71,123,11,1
124,G80V76K50M46V78M,124,34,1
125,G80V76K50M48J80T71,125,20,1
126,G80V76K50M49J80T71,126,35,1
127,G80V76K50M50J80T71,127,18,1
128,G80V76K50M51J80T71,128,15,1
129,G80V76K50M52J80T71,129,4,1
130,G80V76K50M53J80T71,130,18,1
131,G80V76K50M54J80T71,131,34,1
132,G80V76K50M55J80T71,132,12,1
133,G80V76K50M56J80T71,133,5,1
134,G80V76K50M57J80T71,134,13,1
135,G80V76K50N46V78M,135,16,1
136,G80V76K50N48J80T71,136,25,1
137,G80V76K50N49J80T71,137,18,1
138,G80V76K50N50J80T71,138,12,1
139,G80V76K50N51J80T71,139,25,1
140,G80V76K50N52J80T71,140,27,1
141,G80V76K50N53J80T71,141,5,1
142,G80V76K50N54J80T71,142,9,1
143,G80V76K50N55J80T71,143,1,1
144,G80V76K50N56J80T71,144,6,1
145,G80V76K50N57J80T71,145,4,1
146,G80V76K50O46V78M,146,22,1
147,G80V76K50O48J80T71,147,15,1
148,G80V76K50O49J80T71,148,9,1
149,G80V76K50O50J80T71,149,8,1
150,G80V76K50O51J80T71,150,23,1
151,G80V76K50O52J80T71,151,22,1
152,G80V76K50O53J80T71,152,9,1
153,G80V76K50O54J80T71,153,13,1
154,G80V76K50O55J80T71,154,20,1
155,G80V76K50O56J80T71,155,23,1
156,G80V76K50O57J80T71,156,3,1
157,G80V76K50P46V78M,157,28,1
158,G80V76K50P48J80T71,158,28,1
159,G80V76K50P49J80T71,159,25,1
160,G80V76K50P50J80T71,160,9,1
161,G80V76K50P51J80T71,161,13,1
162,G80V76K50P52J80T71,162,25,1
163,G80V76K50P53J80T71,163,13,1
164,G80V76K50P54J80T71,164,35,1
165,G80V76K50P55J80T71,165,7,1
166,G80V76K50P56J80T71,166,7,1
167,G80V76K50P57J80T71,167,20,1
168,G80V76K50Q46V78M,168,2,1
169,G80V76K50Q48J80T71,169,20,1
170,G80V76K50Q49J80T71,170,19,1
171,G80V76K50Q50J80T71,171,2,1
172,G80V76K50Q51J80T71,172,15,1
173,G80V76K50Q52J80T71,173,19,1
174,G80V76K50Q53J80T71,174,26,1
175,G80V76K50Q54J80T71,175,2,1
176,G80V76K50Q55J80T71,176,20,1
177,G80V76K50Q56J80T71,177,33,1
178,G80V76K50Q57J80T71,178,5,1
179,G80V76K50R46V78M,179,14,1
180,G80V76K50R48J80T71,180,12,1
181,G80V76K50R49J80T71,181,9,1
182,G80V76K50R50J80T71,182,7,1
183,G80V76K50R51J80T71,183,26,1
184,G80V76K50R52J80T71,184,23,1
185,G80V76K50R53J80T71,185,1,1
186,G80V76K50R54J80T71,186,29,1
187,G80V76K50R55J80T71,187,19,1
188,G80V76K50R56J80T71,188,20,1
189,G80V76K50R57J80T71,189,12,1
190,G80V76K50S46V78M,190,16,1
191,G80V76K50S48J80T71,191,13,1
192,G80V76K50S49J80T71,192,7,1
193,G80V76K50S50J80T71,193,1,1
194,G80V76K50S51J80T71,194,19,1
195,G80V76K50S52J80T71,195,3,1
196,G80V76K50S53J80T71,196,32,1
197,G80V76K50S54J80T71,197,1,1
198,G80V76K50S55J80T71,198,32,1
199,G80V76K50S56J80T71,199,3,1
200,G80V76K50S57J80T71,200,27,1
201,G80V76K50T46V78M,201,24,1
202,G80V76K50T48J80T71,202,19,1
203,G80V76K50T49J80T71,203,28,1
204,G80V76K50T50J80T71,204,24,1
205,G80V76K50T51J80T71,205,13,1
206,G80V76K50T52J80T71,206,25,1
207,G80V76K50T53J80T71,207,34,1
208,G80V76K50T54J80T71,208,24,1
209,G80V76K50T55J80T71,209,15,1
210,G80V76K50T56J80T71,210,7,1
211,G80V76K50T57J80T71,211,8,1
212,G80V76K50U46V78M,212,20,1
213,G80V76K50U48J80T71,213,16,1
214,G80V76K50U49J80T71,214,1,1
215,G80V76K50U50J80T71,215,11,1
216,G80V76K50U51J80T71,216,25,1
217,G80V76K50U52J80T71,217,5,1
