,precision,recall,f1-score,support
Plum,1.0,1.0,1.0,689.0
Carambola,0.9967689822294022,0.9887820512820513,0.9927594529364441,624.0
Kiwi,0.9964257347100873,0.9877952755905511,0.9920917358639778,2540.0
Guava,0.9927118644067796,0.9911998646133018,0.9919552883394022,5909.0
Orange,0.9835164835164835,0.9900442477876106,0.9867695700110254,904.0
Persimmon,0.9886547811993517,0.9807073954983923,0.9846650524616626,622.0
Mango,0.972244250594766,0.9839486356340289,0.9780614280015956,1246.0
Pitaya,1.0,0.9546666666666667,0.9768076398362893,750.0
accuracy,0.9704228679423577,0.9704228679423577,0.9704228679423577,0.9704228679423577
weighted avg,0.9710602899838522,0.9704228679423577,0.9703275402310225,21165.0
Tomatoes,0.9676425269645609,0.9646697388632872,0.9661538461538461,651.0
macro avg,0.9709237079685148,0.956699108230634,0.9631290345692084,21165.0
Peach,0.9635890767230169,0.9391634980988594,0.9512195121951219,789.0
Apple,0.9180790960451978,0.968414779499404,0.9425754060324826,3356.0
Pomegranate,0.9720394736842105,0.9092307692307692,0.9395866454689984,650.0
Banana,0.9082474226804124,0.9702643171806168,0.9382321618743344,908.0
Pear,0.9439359267734554,0.9126106194690266,0.9280089988751407,904.0
muskmelon,0.96,0.8089887640449438,0.8780487804878049,623.0
